c_min,bmi_noise_std,group_id,recommended_t_mean,recommended_t_std,recommended_t_min,recommended_t_max,n_runs
0.035,0.0,0,106.221923828125,0.0,106.221923828125,106.221923828125,150
0.035,0.0,1,108.221435546875,0.0,108.221435546875,108.221435546875,150
0.035,0.0,2,110.733642578125,0.0,110.733642578125,110.733642578125,150
0.035,0.0,3,115.15717773437495,4.2775387206119294e-14,115.157177734375,115.157177734375,150
0.035,0.2,0,106.16082421875,0.025695992057044575,106.119384765625,106.221923828125,150
0.035,0.2,1,108.22544140625,0.03585697137067933,108.118896484375,108.323974609375,150
0.035,0.2,2,110.72531640625002,0.053385506968115594,110.567529296875,110.875146484375,150
0.035,0.2,3,115.214640625,0.15500285591340426,114.822900390625,115.671923828125,150
0.035,0.5,0,106.152798828125,0.04625983089625932,106.016845703125,106.273193359375,150
0.035,0.5,1,108.25464453125,0.0592054194767974,108.067626953125,108.397802734375,150
0.035,0.5,2,110.77103515625,0.09415996290965224,110.528564453125,111.041259765625,150
0.035,0.5,3,115.36749218750003,0.20876427946128126,114.874169921875,115.88315429687499,150
0.035,1.0,0,106.23390039062501,0.07357845875644135,106.004541015625,106.414697265625,150
0.035,1.0,1,108.37365820312499,0.08884930427155173,108.170166015625,108.580322265625,150
0.035,1.0,2,110.953623046875,0.1318791817126129,110.618798828125,111.272998046875,150
0.035,1.0,3,115.6134765625,0.37282403417575016,114.720361328125,116.865478515625,150
0.04,0.0,0,108.887939453125,0.0,108.887939453125,108.887939453125,150
0.04,0.0,1,111.246337890625,0.0,111.246337890625,111.246337890625,150
0.04,0.0,2,114.219970703125,0.0,114.219970703125,114.219970703125,150
0.04,0.0,3,119.61762695312495,4.2775387206119294e-14,119.617626953125,119.617626953125,150
0.04,0.2,0,108.82990234375,0.03075552449170639,108.773095703125,108.887939453125,150
0.04,0.2,1,111.23612499999999,0.03988340234955621,111.143798828125,111.348876953125,150
0.04,0.2,2,114.22464648437501,0.0632571397518018,114.066162109375,114.400439453125,150
0.04,0.2,3,119.69768945312501,0.17880678378253229,119.232080078125,120.095458984375,150
0.04,0.5,0,108.82994335937501,0.048602478985923694,108.721826171875,108.939208984375,150
0.04,0.5,1,111.26303125000001,0.06624744604066074,111.086376953125,111.451416015625,150
0.04,0.5,2,114.240150390625,0.1175501068012557,113.861083984375,114.578857421875,150
0.04,0.5,3,119.889697265625,0.30944203210526294,119.143896484375,120.770166015625,150
0.04,1.0,0,108.92287109375002,0.09062187032276856,108.682861328125,109.183251953125,150
0.04,1.0,1,111.42013476562497,0.1092267879834909,111.115087890625,111.707763671875,150
0.04,1.0,2,114.4582578125,0.1505058673258528,114.092822265625,114.88852539062499,150
0.04,1.0,3,120.25942578124999,0.5372283693916157,119.297705078125,122.109326171875,150
0.045,0.0,0,112.066650390625,0.0,112.066650390625,112.066650390625,150
0.045,0.0,1,114.937744140625,0.0,114.937744140625,114.937744140625,150
0.045,0.0,2,118.577880859375,0.0,118.577880859375,118.577880859375,150
0.045,0.0,3,125.25727539062495,4.2775387206119294e-14,125.257275390625,125.257275390625,150
0.045,0.2,0,112.038978515625,0.03733508186811268,111.964111328125,112.169189453125,150
0.045,0.2,1,114.91575976562497,0.04688202728234304,114.783935546875,115.040283203125,150
0.045,0.2,2,118.55280664062501,0.08189699518655194,118.411767578125,118.770654296875,150
0.045,0.2,3,125.38792382812501,0.259272429868145,124.732275390625,126.022216796875,150
0.045,0.5,0,112.03460351562501,0.06260517572531589,111.861572265625,112.169189453125,150
0.045,0.5,1,114.94090234374998,0.07533089426378842,114.732666015625,115.091552734375,150
0.045,0.5,2,118.601205078125,0.12431089129398472,118.206689453125,118.936767578125,150
0.045,0.5,3,125.61502734375001,0.37285838840652086,124.642041015625,126.733837890625,150
0.045,1.0,0,112.16053515625002,0.0927697006640453,111.964111328125,112.374267578125,150
0.045,1.0,1,115.12924609374997,0.14285134760941923,114.783935546875,115.524267578125,150
0.045,1.0,2,118.84105078124999,0.19585852622840205,118.309228515625,119.398193359375,150
0.045,1.0,3,126.00068359375,0.6443719643094146,124.397998046875,127.656689453125,150
