threshold,sensitivity,specificity,precision,f1_score,youden_index
0.01,1.0,0.0,0.12011173184357542,0.2144638403990025,0.0
0.02,1.0,0.0031746031746031746,0.12044817927170869,0.215,0.0031746031746031633
0.03,1.0,0.025396825396825397,0.12285714285714286,0.21882951653944022,0.025396825396825307
0.04,1.0,0.02857142857142857,0.12320916905444126,0.21938775510204084,0.02857142857142847
0.05,1.0,0.044444444444444446,0.125,0.2222222222222222,0.04444444444444451
0.06,1.0,0.050793650793650794,0.12573099415204678,0.22337662337662337,0.050793650793650835
0.07,1.0,0.06349206349206349,0.12721893491124261,0.22572178477690288,0.06349206349206349
0.08,1.0,0.0761904761904762,0.12874251497005987,0.22811671087533156,0.07619047619047614
0.09,1.0,0.09206349206349207,0.13069908814589665,0.2311827956989247,0.09206349206349218
0.1,1.0,0.11428571428571428,0.13354037267080746,0.23561643835616436,0.11428571428571432
0.11,1.0,0.13015873015873017,0.13564668769716087,0.23888888888888887,0.13015873015873014
0.12,1.0,0.1523809523809524,0.13870967741935483,0.24362606232294617,0.15238095238095228
0.13,1.0,0.1619047619047619,0.14006514657980457,0.24571428571428572,0.161904761904762
0.14,1.0,0.1746031746031746,0.1419141914191419,0.24855491329479767,0.17460317460317465
0.15,1.0,0.17777777777777778,0.1423841059602649,0.2492753623188406,0.1777777777777778
0.16,1.0,0.1873015873015873,0.14381270903010032,0.25146198830409355,0.1873015873015873
0.17,1.0,0.20317460317460317,0.14625850340136054,0.2551928783382789,0.20317460317460312
0.18,0.9767441860465116,0.2253968253968254,0.14685314685314685,0.2553191489361702,0.20214101144333707
0.19,0.9767441860465116,0.23809523809523808,0.14893617021276595,0.2584615384615384,0.21483942414174972
0.2,0.9767441860465116,0.24444444444444444,0.15,0.26006191950464397,0.22118863049095605
0.21,0.9767441860465116,0.2634920634920635,0.15328467153284672,0.26498422712933756,0.24023624953857503
0.22,0.9534883720930233,0.2761904761904762,0.1524163568773234,0.2628205128205128,0.2296788482834995
0.23,0.9534883720930233,0.28888888888888886,0.15471698113207547,0.2662337662337662,0.24237726098191215
0.24,0.9534883720930233,0.30158730158730157,0.15708812260536398,0.26973684210526316,0.2550756736803248
0.25,0.9534883720930233,0.31746031746031744,0.16015625,0.274247491638796,0.27094868955334084
0.26,0.9534883720930233,0.326984126984127,0.16205533596837945,0.27702702702702703,0.28047249907715033
0.27,0.9534883720930233,0.346031746031746,0.1659919028340081,0.2827586206896552,0.2995201181247693
0.28,0.9302325581395349,0.3492063492063492,0.16326530612244897,0.27777777777777773,0.27943890734588406
0.29,0.9302325581395349,0.3682539682539683,0.16736401673640167,0.28368794326241137,0.29848652639350304
0.3,0.9302325581395349,0.3873015873015873,0.17167381974248927,0.28985507246376807,0.31753414544112224
0.31,0.9302325581395349,0.39365079365079364,0.17316017316017315,0.291970802919708,0.32388335179032857
0.32,0.9302325581395349,0.40634920634920635,0.1762114537444934,0.29629629629629634,0.3365817644887412
0.33,0.9302325581395349,0.42857142857142855,0.18181818181818182,0.3041825095057034,0.35880398671096336
0.34,0.8837209302325582,0.4444444444444444,0.1784037558685446,0.296875,0.3281653746770026
0.35000000000000003,0.8372093023255814,0.4634920634920635,0.17560975609756097,0.29032258064516125,0.30070136581764495
0.36,0.8372093023255814,0.46984126984126984,0.17733990147783252,0.29268292682926833,0.3070505721668513
0.37,0.8372093023255814,0.48253968253968255,0.18090452261306533,0.29752066115702486,0.31974898486526393
0.38,0.813953488372093,0.5015873015873016,0.18229166666666666,0.2978723404255319,0.3155407899593947
0.39,0.813953488372093,0.5238095238095238,0.1891891891891892,0.30701754385964913,0.33776301218161686
0.4,0.813953488372093,0.546031746031746,0.19662921348314608,0.3167420814479638,0.359985234403839
0.41000000000000003,0.813953488372093,0.5650793650793651,0.20348837209302326,0.32558139534883723,0.379032853451458
0.42,0.7906976744186046,0.5841269841269842,0.20606060606060606,0.3269230769230769,0.3748246585455888
0.43,0.7674418604651163,0.6031746031746031,0.2088607594936709,0.3283582089552239,0.37061646363971956
0.44,0.7441860465116279,0.6190476190476191,0.21052631578947367,0.3282051282051282,0.36323366555924697
0.45,0.7441860465116279,0.6317460317460317,0.21621621621621623,0.33507853403141363,0.3759320782576596
0.46,0.7441860465116279,0.6412698412698413,0.2206896551724138,0.3404255319148936,0.3854558877814691
0.47000000000000003,0.6976744186046512,0.6634920634920635,0.22058823529411764,0.33519553072625696,0.36116648209671465
0.48,0.6976744186046512,0.6698412698412698,0.22388059701492538,0.33898305084745767,0.367515688445921
0.49,0.6976744186046512,0.6793650793650794,0.22900763358778625,0.3448275862068966,0.3770394979697307
0.5,0.6976744186046512,0.692063492063492,0.23622047244094488,0.3529411764705882,0.38973791066814334
0.51,0.6744186046511628,0.7206349206349206,0.24786324786324787,0.3625,0.3950535252860834
0.52,0.6744186046511628,0.726984126984127,0.25217391304347825,0.36708860759493667,0.4014027316352897
0.53,0.6511627906976745,0.7428571428571429,0.25688073394495414,0.368421052631579,0.39401993355481735
0.54,0.627906976744186,0.7492063492063492,0.25471698113207547,0.3624161073825503,0.37711332595053526
0.55,0.627906976744186,0.7492063492063492,0.25471698113207547,0.3624161073825503,0.37711332595053526
0.56,0.5813953488372093,0.7682539682539683,0.25510204081632654,0.35460992907801414,0.34964931709117764
0.5700000000000001,0.5813953488372093,0.7904761904761904,0.27472527472527475,0.373134328358209,0.3718715393133998
0.58,0.5813953488372093,0.8063492063492064,0.29069767441860467,0.3875968992248062,0.3877445551864156
0.59,0.5813953488372093,0.8126984126984127,0.2976190476190476,0.3937007874015748,0.3940937615356219
0.6,0.5813953488372093,0.8158730158730159,0.30120481927710846,0.39682539682539686,0.3972683647102251
0.61,0.5581395348837209,0.8253968253968254,0.3037974683544304,0.39344262295081966,0.38353636028054616
0.62,0.5348837209302325,0.8444444444444444,0.3194444444444444,0.39999999999999997,0.37932816537467695
0.63,0.5348837209302325,0.8571428571428571,0.3382352941176471,0.4144144144144144,0.3920265780730896
0.64,0.4883720930232558,0.8634920634920635,0.328125,0.39252336448598124,0.3518641565153193
0.65,0.4883720930232558,0.8698412698412699,0.3387096774193548,0.4,0.35821336286452565
0.66,0.46511627906976744,0.8761904761904762,0.3389830508474576,0.3921568627450981,0.34130675526024357
0.67,0.4418604651162791,0.8920634920634921,0.3584905660377358,0.3958333333333333,0.3339239571797712
0.68,0.3953488372093023,0.8984126984126984,0.3469387755102041,0.3695652173913043,0.2937615356220007
0.6900000000000001,0.3953488372093023,0.9047619047619048,0.3617021276595745,0.37777777777777777,0.300110741971207
0.7000000000000001,0.32558139534883723,0.9174603174603174,0.35,0.3373493975903615,0.24304171280915465
0.71,0.32558139534883723,0.9238095238095239,0.3684210526315789,0.34567901234567905,0.24939091915836098
0.72,0.32558139534883723,0.9301587301587302,0.3888888888888889,0.35443037974683544,0.2557401255075673
0.73,0.32558139534883723,0.9396825396825397,0.42424242424242425,0.368421052631579,0.2652639350313768
0.74,0.3023255813953488,0.9396825396825397,0.40625,0.3466666666666667,0.24200812107788838
0.75,0.3023255813953488,0.9555555555555556,0.48148148148148145,0.37142857142857144,0.2578811369509044
0.76,0.27906976744186046,0.9682539682539683,0.5454545454545454,0.36923076923076914,0.24732373569582866
0.77,0.27906976744186046,0.9714285714285714,0.5714285714285714,0.37499999999999994,0.2504983388704318
0.78,0.2558139534883721,0.9746031746031746,0.5789473684210527,0.3548387096774194,0.2304171280915468
0.79,0.2558139534883721,0.9777777777777777,0.6111111111111112,0.36065573770491804,0.23359173126614996
0.8,0.2558139534883721,0.9841269841269841,0.6875,0.3728813559322034,0.2399409376153563
0.81,0.2558139534883721,0.9873015873015873,0.7333333333333333,0.3793103448275862,0.24311554078995945
0.8200000000000001,0.23255813953488372,0.9873015873015873,0.7142857142857143,0.3508771929824562,0.21985972683647104
0.8300000000000001,0.23255813953488372,0.9873015873015873,0.7142857142857143,0.3508771929824562,0.21985972683647104
0.84,0.23255813953488372,0.9873015873015873,0.7142857142857143,0.3508771929824562,0.21985972683647104
0.85,0.23255813953488372,0.9873015873015873,0.7142857142857143,0.3508771929824562,0.21985972683647104
0.86,0.20930232558139536,0.9904761904761905,0.75,0.32727272727272727,0.1997785160575858
0.87,0.13953488372093023,0.9968253968253968,0.8571428571428571,0.24,0.1363602805463271
0.88,0.11627906976744186,0.9968253968253968,0.8333333333333334,0.20408163265306123,0.11310446659283868
0.89,0.11627906976744186,0.9968253968253968,0.8333333333333334,0.20408163265306123,0.11310446659283868
0.9,0.09302325581395349,1.0,1.0,0.1702127659574468,0.09302325581395343
0.91,0.09302325581395349,1.0,1.0,0.1702127659574468,0.09302325581395343
0.92,0.09302325581395349,1.0,1.0,0.1702127659574468,0.09302325581395343
0.93,0.06976744186046512,1.0,1.0,0.13043478260869565,0.06976744186046502
0.9400000000000001,0.06976744186046512,1.0,1.0,0.13043478260869565,0.06976744186046502
0.9500000000000001,0.046511627906976744,1.0,1.0,0.08888888888888888,0.04651162790697683
0.96,0.046511627906976744,1.0,1.0,0.08888888888888888,0.04651162790697683
0.97,0.046511627906976744,1.0,1.0,0.08888888888888888,0.04651162790697683
0.98,0.023255813953488372,1.0,1.0,0.04545454545454545,0.023255813953488413
